,"subject,melody,note,onset,duration,ioi,pitch,probe,response,time,known,liked,interval,rt,musical,training,playing"
474,"19,hymn_073_b,9,8000000,1000000,1000000,75,1,1,9437978,No,4,8,1437.978,FALSE,0,0"
475,"19,hymn_081_b,58,57000000,1000000,1000000,74,1,4,58899281,No,2,5,1899.281,FALSE,0,0"
476,"19,hymn_119_b,17,16000000,1000000,1000000,66,1,2,17433204,No,4,-1,1433.204,FALSE,0,0"
477,"19,hymn_124a_b,9,8000000,1000000,1000000,72,1,3,9946266,No,4,5,1946.266,FALSE,0,0"
478,"19,hymn_127_b,46,45000000,1000000,1000000,61,1,1,46322039,No,2,-1,1322.039,FALSE,0,0"
479,"19,hymn_161_b,13,12000000,1000000,1000000,65,1,6,13882749,No,3,-3,1882.749,FALSE,0,0"
480,"19,hymn_163_b,9,8000000,1000000,1000000,74,1,5,10274210,No,4,8,2274.21,FALSE,0,0"
481,"19,hymn_190_b,41,40000000,1000000,1000000,72,1,1,41525566,No,2,5,1525.566,FALSE,0,0"
482,"19,hymn_213_b,21,20000000,1000000,1000000,68,1,3,21448368,Yes,4,-4,1448.368,FALSE,0,0"
483,"19,hymn_233_b,18,17000000,1000000,1000000,75,1,2,18733055,No,2,7,1733.055,FALSE,0,0"
484,"19,hymn_267_b,53,52000000,1000000,1000000,68,1,2,53620557,No,2,-7,1620.557,FALSE,0,0"
485,"19,hymn_273_b,9,8000000,1000000,1000000,64,1,3,9748069,No,3,-7,1748.069,FALSE,0,0"
486,"19,hymn_291_b,14,13000000,1000000,1000000,71,1,7,14230981,Yes,4,-1,1230.981,FALSE,0,0"
487,"19,hymn_295_b,11,10000000,1000000,1000000,71,1,2,12588752,No,3,-5,2588.752,FALSE,0,0"
488,"19,hymn_311_b,21,20000000,1000000,1000000,74,1,2,21792678,Yes,4,3,1792.678,FALSE,0,0"
489,"19,hymn_388b_b,9,8000000,1000000,1000000,72,1,7,9772999,No,2,5,1772.999,FALSE,0,0"
490,"19,hymn_444_b,10,9000000,1000000,1000000,74,1,5,10904999,No,3,5,1904.999,FALSE,0,0"
491,"19,hymn_526_b,35,34000000,1000000,1000000,77,1,6,35894765,No,2,5,1894.765,FALSE,0,0"
492,"19,hymn_542_b,12,11000000,1000000,1000000,72,1,3,12523087,No,4,-4,1523.087,FALSE,0,0"
493,"19,hymn_565_b,9,8000000,1000000,1000000,74,1,1,10230389,No,2,12,2230.389,FALSE,0,0"
494,"20,hymn_007_b,26,25000000,1000000,1000000,71,1,5,26981895,No,3,5,1981.895,FALSE,0,0"
495,"20,hymn_022_b,22,21000000,1000000,1000000,75,1,5,23414775,No,3,6,2414.775,FALSE,0,0"
496,"20,hymn_025_b,9,8000000,1000000,1000000,75,1,4,9754132,No,3,12,1754.132,FALSE,0,0"
497,"20,hymn_039_b,21,20000000,1000000,1000000,64,1,4,21655170,No,3,-5,1655.17,FALSE,0,0"
498,"20,hymn_047_b,10,9000000,1000000,1000000,71,1,6,11534740,No,3,2,2534.74,FALSE,0,0"
499,"20,hymn_054_b,22,21000000,1000000,1000000,76,1,2,23355565,No,3,7,2355.565,FALSE,0,0"
500,"20,hymn_073_b,9,8000000,1000000,1000000,75,1,4,9825197,No,3,8,1825.197,FALSE,0,0"
501,"20,hymn_081_b,58,57000000,1000000,1000000,74,1,4,58354482,No,3,5,1354.482,FALSE,0,0"
502,"20,hymn_119_b,17,16000000,1000000,1000000,66,1,5,17667625,No,3,-1,1667.625,FALSE,0,0"
503,"20,hymn_124a_b,9,8000000,1000000,1000000,72,1,5,9320338,No,3,5,1320.338,FALSE,0,0"
504,"20,hymn_127_b,46,45000000,1000000,1000000,61,1,2,46640534,No,3,-1,1640.534,FALSE,0,0"
505,"20,hymn_161_b,13,12000000,1000000,1000000,65,1,6,13478797,No,3,-3,1478.797,FALSE,0,0"
506,"20,hymn_163_b,9,8000000,1000000,1000000,74,1,4,10176513,No,3,8,2176.513,FALSE,0,0"
507,"20,hymn_190_b,41,40000000,1000000,1000000,72,1,4,41301275,No,3,5,1301.275,FALSE,0,0"
508,"20,hymn_213_b,21,20000000,1000000,1000000,68,1,6,22087789,No,4,-4,2087.789,FALSE,0,0"
509,"20,hymn_233_b,18,17000000,1000000,1000000,75,1,3,18311870,No,3,7,1311.87,FALSE,0,0"
510,"20,hymn_267_b,53,52000000,1000000,1000000,68,1,4,53709333,No,3,-7,1709.333,FALSE,0,0"
511,"20,hymn_273_b,9,8000000,1000000,1000000,64,1,4,9244889,Yes,3,-7,1244.889,FALSE,0,0"
512,"20,hymn_291_b,14,13000000,1000000,1000000,71,1,6,15000528,No,3,-1,2000.528,FALSE,0,0"
513,"20,hymn_295_b,11,10000000,1000000,1000000,71,1,5,11193675,No,3,-5,1193.675,FALSE,0,0"
514,"20,hymn_311_b,21,20000000,1000000,1000000,74,1,3,21807034,No,3,3,1807.034,FALSE,0,0"
515,"20,hymn_388b_b,9,8000000,1000000,1000000,72,1,6,10294377,No,3,5,2294.377,FALSE,0,0"
516,"20,hymn_444_b,10,9000000,1000000,1000000,74,1,4,10652394,No,3,5,1652.394,FALSE,0,0"
517,"20,hymn_526_b,35,34000000,1000000,1000000,77,1,4,36467574,No,3,5,2467.574,FALSE,0,0"
518,"20,hymn_542_b,12,11000000,1000000,1000000,72,1,4,12235772,No,3,-4,1235.772,FALSE,0,0"
519,"20,hymn_565_b,9,8000000,1000000,1000000,74,1,1,9693015,No,3,12,1693.015,FALSE,0,0"
520,"21,hymn_007_b,26,25000000,1000000,1000000,71,1,5,27027464,No,4,5,2027.464,FALSE,0,10"
521,"21,hymn_022_b,22,21000000,1000000,1000000,75,1,5,25695784,Yes,4,6,4695.784,FALSE,0,10"
522,"21,hymn_025_b,9,8000000,1000000,1000000,75,1,4,11706761,No,5,12,3706.761,FALSE,0,10"
523,"21,hymn_039_b,21,20000000,1000000,1000000,64,1,6,23661040,Yes,5,-5,3661.04,FALSE,0,10"
524,"21,hymn_047_b,10,9000000,1000000,1000000,71,1,3,11345740,No,4,2,2345.74,FALSE,0,10"
525,"21,hymn_054_b,22,21000000,1000000,1000000,76,1,NA,NA,No,4,7,NA,FALSE,0,10"
526,"21,hymn_073_b,9,8000000,1000000,1000000,75,1,4,13102643,Yes,4,8,5102.643,FALSE,0,10"
527,"21,hymn_081_b,58,57000000,1000000,1000000,74,1,5,63436872,No,4,5,6436.872,FALSE,0,10"
528,"21,hymn_119_b,17,16000000,1000000,1000000,66,1,5,28404189,No,3,-1,12404.189,FALSE,0,10"
529,"21,hymn_124a_b,9,8000000,1000000,1000000,72,1,5,11797403,No,4,5,3797.403,FALSE,0,10"
530,"21,hymn_127_b,46,45000000,1000000,1000000,61,1,3,48673653,Yes,4,-1,3673.653,FALSE,0,10"
531,"21,hymn_161_b,13,12000000,1000000,1000000,65,1,6,14108199,Yes,4,-3,2108.199,FALSE,0,10"
532,"21,hymn_163_b,9,8000000,1000000,1000000,74,1,4,15399450,Yes,4,8,7399.45,FALSE,0,10"
533,"21,hymn_190_b,41,40000000,1000000,1000000,72,1,4,43501717,Yes,4,5,3501.717,FALSE,0,10"
534,"21,hymn_213_b,21,20000000,1000000,1000000,68,1,5,27328130,No,3,-4,7328.13,FALSE,0,10"
535,"21,hymn_233_b,18,17000000,1000000,1000000,75,1,3,20146771,No,3,7,3146.771,FALSE,0,10"
536,"21,hymn_267_b,53,52000000,1000000,1000000,68,1,6,53345499,No,4,-7,1345.499,FALSE,0,10"
537,"21,hymn_273_b,9,8000000,1000000,1000000,64,1,4,10957623,Yes,5,-7,2957.623,FALSE,0,10"
538,"21,hymn_291_b,14,13000000,1000000,1000000,71,1,NA,NA,Yes,4,-1,NA,FALSE,0,10"
539,"21,hymn_295_b,11,10000000,1000000,1000000,71,1,3,14040349,No,4,-5,4040.349,FALSE,0,10"
540,"21,hymn_311_b,21,20000000,1000000,1000000,74,1,3,22965537,Yes,4,3,2965.537,FALSE,0,10"
541,"21,hymn_388b_b,9,8000000,1000000,1000000,72,1,5,11017955,Yes,4,5,3017.955,FALSE,0,10"
542,"21,hymn_444_b,10,9000000,1000000,1000000,74,1,4,11258198,No,4,5,2258.198,FALSE,0,10"
543,"21,hymn_526_b,35,34000000,1000000,1000000,77,1,4,37085760,Yes,4,5,3085.76,FALSE,0,10"
544,"21,hymn_542_b,12,11000000,1000000,1000000,72,1,3,13318540,No,4,-4,2318.54,FALSE,0,10"
545,"21,hymn_565_b,9,8000000,1000000,1000000,74,1,4,10080003,No,4,12,2080.003,FALSE,0,10"
546,"22,hymn_007_b,26,25000000,1000000,1000000,71,1,5,26737647,No,2,5,1737.647,FALSE,3,0"
547,"22,hymn_022_b,22,21000000,1000000,1000000,75,1,4,21920956,No,3,6,920.956,FALSE,3,0"
548,"22,hymn_025_b,9,8000000,1000000,1000000,75,1,5,10153742,No,4,12,2153.742,FALSE,3,0"
549,"22,hymn_039_b,21,20000000,1000000,1000000,64,1,6,21106388,No,4,-5,1106.388,FALSE,3,0"
550,"22,hymn_047_b,10,9000000,1000000,1000000,71,1,5,10906937,No,2,2,1906.937,FALSE,3,0"
551,"22,hymn_054_b,22,21000000,1000000,1000000,76,1,2,22226925,No,4,7,1226.925,FALSE,3,0"
552,"22,hymn_073_b,9,8000000,1000000,1000000,75,1,3,10621394,No,4,8,2621.394,FALSE,3,0"
553,"22,hymn_081_b,58,57000000,1000000,1000000,74,1,2,58546681,No,2,5,1546.681,FALSE,3,0"
554,"22,hymn_119_b,17,16000000,1000000,1000000,66,1,2,16611979,No,1,-1,611.979,FALSE,3,0"
555,"22,hymn_124a_b,9,8000000,1000000,1000000,72,1,6,9004891,No,5,5,1004.891,FALSE,3,0"
556,"22,hymn_127_b,46,45000000,1000000,1000000,61,1,1,46725475,No,2,-1,1725.475,FALSE,3,0"
557,"22,hymn_161_b,13,12000000,1000000,1000000,65,1,4,12914325,No,2,-3,914.325,FALSE,3,0"
558,"22,hymn_163_b,9,8000000,1000000,1000000,74,1,2,9415883,No,2,8,1415.883,FALSE,3,0"
559,"22,hymn_190_b,41,40000000,1000000,1000000,72,1,2,41408002,No,4,5,1408.002,FALSE,3,0"
560,"22,hymn_213_b,21,20000000,1000000,1000000,68,1,3,21456267,No,4,-4,1456.267,FALSE,3,0"
561,"22,hymn_233_b,18,17000000,1000000,1000000,75,1,2,18335978,No,3,7,1335.978,FALSE,3,0"
562,"22,hymn_267_b,53,52000000,1000000,1000000,68,1,3,53800645,No,4,-7,1800.645,FALSE,3,0"
563,"22,hymn_273_b,9,8000000,1000000,1000000,64,1,2,9563961,No,4,-7,1563.961,FALSE,3,0"
564,"22,hymn_291_b,14,13000000,1000000,1000000,71,1,7,15249226,Yes,5,-1,2249.226,FALSE,3,0"
565,"22,hymn_295_b,11,10000000,1000000,1000000,71,1,5,11358839,No,1,-5,1358.839,FALSE,3,0"
566,"22,hymn_311_b,21,20000000,1000000,1000000,74,1,4,20718166,No,4,3,718.166,FALSE,3,0"
567,"22,hymn_388b_b,9,8000000,1000000,1000000,72,1,5,10101959,No,4,5,2101.959,FALSE,3,0"
568,"22,hymn_444_b,10,9000000,1000000,1000000,74,1,6,10042137,No,4,5,1042.137,FALSE,3,0"
569,"22,hymn_526_b,35,34000000,1000000,1000000,77,1,2,35074178,No,2,5,1074.178,FALSE,3,0"
570,"22,hymn_542_b,12,11000000,1000000,1000000,72,1,6,12406247,No,4,-4,1406.247,FALSE,3,0"
571,"22,hymn_565_b,9,8000000,1000000,1000000,74,1,2,9663764,No,2,12,1663.764,FALSE,3,0"
572,"23,hymn_007_b,26,25000000,1000000,1000000,71,1,5,26584554,No,4,5,1584.554,TRUE,10,34"
573,"23,hymn_022_b,22,21000000,1000000,1000000,75,1,3,23646881,No,2,6,2646.881,TRUE,10,34"
574,"23,hymn_025_b,9,8000000,1000000,1000000,75,1,7,9608022,No,3,12,1608.022,TRUE,10,34"
575,"23,hymn_039_b,21,20000000,1000000,1000000,64,1,4,22972996,No,3,-5,2972.996,TRUE,10,34"
576,"23,hymn_047_b,10,9000000,1000000,1000000,71,1,3,15243574,No,3,2,6243.574,TRUE,10,34"
577,"23,hymn_054_b,22,21000000,1000000,1000000,76,1,3,24145417,No,3,7,3145.417,TRUE,10,34"
578,"23,hymn_073_b,9,8000000,1000000,1000000,75,1,7,9547989,No,3,8,1547.989,TRUE,10,34"
579,"23,hymn_081_b,58,57000000,1000000,1000000,74,1,3,58790481,No,1,5,1790.481,TRUE,10,34"
580,"23,hymn_119_b,17,16000000,1000000,1000000,66,1,3,19584510,No,4,-1,3584.51,TRUE,10,34"
581,"23,hymn_124a_b,9,8000000,1000000,1000000,72,1,6,10823131,No,2,5,2823.131,TRUE,10,34"
582,"23,hymn_127_b,46,45000000,1000000,1000000,61,1,2,48970576,No,4,-1,3970.576,TRUE,10,34"
583,"23,hymn_161_b,13,12000000,1000000,1000000,65,1,5,14629885,No,2,-3,2629.885,TRUE,10,34"
584,"23,hymn_163_b,9,8000000,1000000,1000000,74,1,3,9935884,No,3,8,1935.884,TRUE,10,34"
585,"23,hymn_190_b,41,40000000,1000000,1000000,72,1,4,41964902,No,3,5,1964.902,TRUE,10,34"
586,"23,hymn_213_b,21,20000000,1000000,1000000,68,1,5,23587415,No,4,-4,3587.415,TRUE,10,34"
587,"23,hymn_233_b,18,17000000,1000000,1000000,75,1,3,21167272,No,3,7,4167.272,TRUE,10,34"
588,"23,hymn_267_b,53,52000000,1000000,1000000,68,1,5,55181930,No,4,-7,3181.93,TRUE,10,34"
589,"23,hymn_273_b,9,8000000,1000000,1000000,64,1,2,9898218,No,2,-7,1898.218,TRUE,10,34"
590,"23,hymn_291_b,14,13000000,1000000,1000000,71,1,5,16146055,No,3,-1,3146.055,TRUE,10,34"
591,"23,hymn_295_b,11,10000000,1000000,1000000,71,1,4,12131555,No,3,-5,2131.555,TRUE,10,34"
592,"23,hymn_311_b,21,20000000,1000000,1000000,74,1,6,27499352,Yes,4,3,7499.352,TRUE,10,34"
593,"23,hymn_388b_b,9,8000000,1000000,1000000,72,1,6,10221610,No,2,5,2221.61,TRUE,10,34"
594,"23,hymn_444_b,10,9000000,1000000,1000000,74,1,5,10962934,No,3,5,1962.934,TRUE,10,34"
595,"23,hymn_526_b,35,34000000,1000000,1000000,77,1,1,40214573,No,4,5,6214.573,TRUE,10,34"
596,"23,hymn_542_b,12,11000000,1000000,1000000,72,1,7,12591452,No,3,-4,1591.452,TRUE,10,34"
597,"23,hymn_565_b,9,8000000,1000000,1000000,74,1,7,9910957,No,4,12,1910.957,TRUE,10,34"
598,"24,hymn_007_b,26,25000000,1000000,1000000,71,1,6,27238353,No,3,5,2238.353,FALSE,0,0"
599,"24,hymn_022_b,22,21000000,1000000,1000000,75,1,5,23613565,No,4,6,2613.565,FALSE,0,0"
600,"24,hymn_025_b,9,8000000,1000000,1000000,75,1,5,11451836,Yes,3,12,3451.836,FALSE,0,0"
601,"24,hymn_039_b,21,20000000,1000000,1000000,64,1,5,21498030,No,3,-5,1498.03,FALSE,0,0"
602,"24,hymn_047_b,10,9000000,1000000,1000000,71,1,5,12605610,No,4,2,3605.61,FALSE,0,0"
603,"24,hymn_054_b,22,21000000,1000000,1000000,76,1,5,25065687,No,4,7,4065.687,FALSE,0,0"
604,"24,hymn_073_b,9,8000000,1000000,1000000,75,1,6,10344407,No,4,8,2344.407,FALSE,0,0"
605,"24,hymn_081_b,58,57000000,1000000,1000000,74,1,5,58290434,No,4,5,1290.434,FALSE,0,0"
606,"24,hymn_119_b,17,16000000,1000000,1000000,66,1,4,19417584,No,3,-1,3417.584,FALSE,0,0"
607,"24,hymn_124a_b,9,8000000,1000000,1000000,72,1,5,9950147,No,3,5,1950.147,FALSE,0,0"
608,"24,hymn_127_b,46,45000000,1000000,1000000,61,1,3,46920367,No,2,-1,1920.367,FALSE,0,0"
609,"24,hymn_161_b,13,12000000,1000000,1000000,65,1,7,13201953,No,3,-3,1201.953,FALSE,0,0"
610,"24,hymn_163_b,9,8000000,1000000,1000000,74,1,4,10565725,No,3,8,2565.725,FALSE,0,0"
611,"24,hymn_190_b,41,40000000,1000000,1000000,72,1,6,42630434,Yes,4,5,2630.434,FALSE,0,0"
612,"24,hymn_213_b,21,20000000,1000000,1000000,68,1,7,21029698,No,3,-4,1029.698,FALSE,0,0"
613,"24,hymn_233_b,18,17000000,1000000,1000000,75,1,4,19169318,No,3,7,2169.318,FALSE,0,0"
614,"24,hymn_267_b,53,52000000,1000000,1000000,68,1,6,53040515,No,3,-7,1040.515,FALSE,0,0"
615,"24,hymn_273_b,9,8000000,1000000,1000000,64,1,5,10337425,No,4,-7,2337.425,FALSE,0,0"
616,"24,hymn_291_b,14,13000000,1000000,1000000,71,1,6,14449191,Yes,4,-1,1449.191,FALSE,0,0"
617,"24,hymn_295_b,11,10000000,1000000,1000000,71,1,5,12004503,No,3,-5,2004.503,FALSE,0,0"
618,"24,hymn_311_b,21,20000000,1000000,1000000,74,1,3,21680405,No,3,3,1680.405,FALSE,0,0"
619,"24,hymn_388b_b,9,8000000,1000000,1000000,72,1,5,10450900,Yes,4,5,2450.9,FALSE,0,0"
620,"24,hymn_444_b,10,9000000,1000000,1000000,74,1,5,10569882,No,3,5,1569.882,FALSE,0,0"
621,"24,hymn_526_b,35,34000000,1000000,1000000,77,1,3,35907722,No,3,5,1907.722,FALSE,0,0"
622,"24,hymn_542_b,12,11000000,1000000,1000000,72,1,7,13054434,Yes,3,-4,2054.434,FALSE,0,0"
623,"24,hymn_565_b,9,8000000,1000000,1000000,74,1,4,11664546,No,3,12,3664.546,FALSE,0,0"
624,"25,hymn_007_b,26,25000000,1000000,1000000,71,1,5,26007679,No,2,5,1007.679,FALSE,3.5,12"
625,"25,hymn_022_b,22,21000000,1000000,1000000,75,1,6,22628810,No,1,6,1628.81,FALSE,3.5,12"
626,"25,hymn_025_b,9,8000000,1000000,1000000,75,1,5,10820376,No,1,12,2820.376,FALSE,3.5,12"
627,"25,hymn_039_b,21,20000000,1000000,1000000,64,1,5,23395659,No,1,-5,3395.659,FALSE,3.5,12"
628,"25,hymn_047_b,10,9000000,1000000,1000000,71,1,2,12682529,No,2,2,3682.529,FALSE,3.5,12"
629,"25,hymn_054_b,22,21000000,1000000,1000000,76,1,3,24202056,No,2,7,3202.056,FALSE,3.5,12"
630,"25,hymn_073_b,9,8000000,1000000,1000000,75,1,5,14251677,No,2,8,6251.677,FALSE,3.5,12"
631,"25,hymn_081_b,58,57000000,1000000,1000000,74,1,5,59968562,No,2,5,2968.562,FALSE,3.5,12"
632,"25,hymn_119_b,17,16000000,1000000,1000000,66,1,3,17572551,No,2,-1,1572.551,FALSE,3.5,12"
633,"25,hymn_124a_b,9,8000000,1000000,1000000,72,1,7,10257849,No,2,5,2257.849,FALSE,3.5,12"
634,"25,hymn_127_b,46,45000000,1000000,1000000,61,1,7,45722903,No,2,-1,722.903,FALSE,3.5,12"
635,"25,hymn_161_b,13,12000000,1000000,1000000,65,1,5,16685546,No,3,-3,4685.546,FALSE,3.5,12"
636,"25,hymn_163_b,9,8000000,1000000,1000000,74,1,3,10717018,No,2,8,2717.018,FALSE,3.5,12"
637,"25,hymn_190_b,41,40000000,1000000,1000000,72,1,5,41218842,No,2,5,1218.842,FALSE,3.5,12"
638,"25,hymn_213_b,21,20000000,1000000,1000000,68,1,6,22774103,No,2,-4,2774.103,FALSE,3.5,12"
639,"25,hymn_233_b,18,17000000,1000000,1000000,75,1,6,18866330,No,3,7,1866.33,FALSE,3.5,12"
640,"25,hymn_267_b,53,52000000,1000000,1000000,68,1,5,55725171,No,3,-7,3725.171,FALSE,3.5,12"
641,"25,hymn_273_b,9,8000000,1000000,1000000,64,1,4,14900815,No,1,-7,6900.815,FALSE,3.5,12"
642,"25,hymn_291_b,14,13000000,1000000,1000000,71,1,2,16296543,No,2,-1,3296.543,FALSE,3.5,12"
643,"25,hymn_295_b,11,10000000,1000000,1000000,71,1,6,13685101,No,3,-5,3685.101,FALSE,3.5,12"
644,"25,hymn_311_b,21,20000000,1000000,1000000,74,1,2,22839464,No,2,3,2839.464,FALSE,3.5,12"
645,"25,hymn_388b_b,9,8000000,1000000,1000000,72,1,7,9340660,No,1,5,1340.66,FALSE,3.5,12"
646,"25,hymn_444_b,10,9000000,1000000,1000000,74,1,6,10645302,No,2,5,1645.302,FALSE,3.5,12"
647,"25,hymn_526_b,35,34000000,1000000,1000000,77,1,7,37299034,No,2,5,3299.034,FALSE,3.5,12"
648,"25,hymn_542_b,12,11000000,1000000,1000000,72,1,6,12308127,No,3,-4,1308.127,FALSE,3.5,12"
649,"25,hymn_565_b,9,8000000,1000000,1000000,74,1,6,9693525,No,3,12,1693.525,FALSE,3.5,12"
650,"26,hymn_007_b,26,25000000,1000000,1000000,71,1,7,26035531,Yes,4,5,1035.531,TRUE,12,41"
651,"26,hymn_022_b,22,21000000,1000000,1000000,75,1,4,24692596,No,4,6,3692.596,TRUE,12,41"
652,"26,hymn_025_b,9,8000000,1000000,1000000,75,1,2,9610563,No,3,12,1610.563,TRUE,12,41"
653,"26,hymn_039_b,21,20000000,1000000,1000000,64,1,3,22531850,No,4,-5,2531.85,TRUE,12,41"
654,"26,hymn_047_b,10,9000000,1000000,1000000,71,1,7,11214976,Yes,4,2,2214.976,TRUE,12,41"
655,"26,hymn_054_b,22,21000000,1000000,1000000,76,1,7,22132938,Yes,5,7,1132.938,TRUE,12,41"
656,"26,hymn_073_b,9,8000000,1000000,1000000,75,1,7,9361726,Yes,5,8,1361.726,TRUE,12,41"
657,"26,hymn_081_b,58,57000000,1000000,1000000,74,1,7,58172606,Yes,5,5,1172.606,TRUE,12,41"
658,"26,hymn_119_b,17,16000000,1000000,1000000,66,1,3,18132958,No,2,-1,2132.958,TRUE,12,41"
659,"26,hymn_124a_b,9,8000000,1000000,1000000,72,1,4,9620669,No,3,5,1620.669,TRUE,12,41"
660,"26,hymn_127_b,46,45000000,1000000,1000000,61,1,7,46435446,Yes,4,-1,1435.446,TRUE,12,41"
661,"26,hymn_161_b,13,12000000,1000000,1000000,65,1,7,13232988,Yes,4,-3,1232.988,TRUE,12,41"
662,"26,hymn_163_b,9,8000000,1000000,1000000,74,1,7,8881738,Yes,4,8,881.738,TRUE,12,41"
663,"26,hymn_190_b,41,40000000,1000000,1000000,72,1,7,41525726,Yes,3,5,1525.726,TRUE,12,41"
664,"26,hymn_213_b,21,20000000,1000000,1000000,68,1,4,22092929,No,3,-4,2092.929,TRUE,12,41"
665,"26,hymn_233_b,18,17000000,1000000,1000000,75,1,3,19079866,No,3,7,2079.866,TRUE,12,41"
666,"26,hymn_267_b,53,52000000,1000000,1000000,68,1,7,52954699,Yes,5,-7,954.699,TRUE,12,41"
667,"26,hymn_273_b,9,8000000,1000000,1000000,64,1,7,9283863,Yes,5,-7,1283.863,TRUE,12,41"
668,"26,hymn_291_b,14,13000000,1000000,1000000,71,1,7,13815771,Yes,5,-1,815.771,TRUE,12,41"
669,"26,hymn_295_b,11,10000000,1000000,1000000,71,1,4,12605695,No,2,-5,2605.695,TRUE,12,41"
670,"26,hymn_311_b,21,20000000,1000000,1000000,74,1,7,20955457,Yes,5,3,955.457,TRUE,12,41"
671,"26,hymn_388b_b,9,8000000,1000000,1000000,72,1,1,9833981,No,4,5,1833.981,TRUE,12,41"
672,"26,hymn_444_b,10,9000000,1000000,1000000,74,1,7,10395735,Yes,4,5,1395.735,TRUE,12,41"
673,"26,hymn_526_b,35,34000000,1000000,1000000,77,1,7,35450813,No,5,5,1450.813,TRUE,12,41"
674,"26,hymn_542_b,12,11000000,1000000,1000000,72,1,7,11914451,Yes,5,-4,914.451,TRUE,12,41"
675,"26,hymn_565_b,9,8000000,1000000,1000000,74,1,1,10360188,No,3,12,2360.188,TRUE,12,41"
676,"27,hymn_007_b,26,25000000,1000000,1000000,71,1,3,28244545,No,3,5,3244.545,FALSE,0,0"
677,"27,hymn_022_b,22,21000000,1000000,1000000,75,1,4,23333242,Yes,3,6,2333.242,FALSE,0,0"
678,"27,hymn_025_b,9,8000000,1000000,1000000,75,1,1,10671781,No,2,12,2671.781,FALSE,0,0"
679,"27,hymn_039_b,21,20000000,1000000,1000000,64,1,3,23438259,No,4,-5,3438.259,FALSE,0,0"
680,"27,hymn_047_b,10,9000000,1000000,1000000,71,1,4,17307700,Yes,3,2,8307.7,FALSE,0,0"
681,"27,hymn_054_b,22,21000000,1000000,1000000,76,1,3,24013344,Yes,3,7,3013.344,FALSE,0,0"
682,"27,hymn_073_b,9,8000000,1000000,1000000,75,1,1,9863004,No,2,8,1863.004,FALSE,0,0"
683,"27,hymn_081_b,58,57000000,1000000,1000000,74,1,3,59992229,No,3,5,2992.229,FALSE,0,0"
684,"27,hymn_119_b,17,16000000,1000000,1000000,66,1,5,19128295,No,4,-1,3128.295,FALSE,0,0"
685,"27,hymn_124a_b,9,8000000,1000000,1000000,72,1,5,10043847,Yes,3,5,2043.847,FALSE,0,0"
686,"27,hymn_127_b,46,45000000,1000000,1000000,61,1,3,47159714,Yes,3,-1,2159.714,FALSE,0,0"
687,"27,hymn_161_b,13,12000000,1000000,1000000,65,1,5,14755991,No,3,-3,2755.991,FALSE,0,0"
688,"27,hymn_163_b,9,8000000,1000000,1000000,74,1,5,9939725,Yes,3,8,1939.725,FALSE,0,0"
689,"27,hymn_190_b,41,40000000,1000000,1000000,72,1,4,42507950,Yes,3,5,2507.95,FALSE,0,0"
690,"27,hymn_213_b,21,20000000,1000000,1000000,68,1,5,22120005,No,4,-4,2120.005,FALSE,0,0"
691,"27,hymn_233_b,18,17000000,1000000,1000000,75,1,2,18514332,No,2,7,1514.332,FALSE,0,0"
692,"27,hymn_267_b,53,52000000,1000000,1000000,68,1,4,53621048,No,3,-7,1621.048,FALSE,0,0"
693,"27,hymn_273_b,9,8000000,1000000,1000000,64,1,4,11121662,No,3,-7,3121.662,FALSE,0,0"
694,"27,hymn_291_b,14,13000000,1000000,1000000,71,1,3,16138414,No,3,-1,3138.414,FALSE,0,0"
695,"27,hymn_295_b,11,10000000,1000000,1000000,71,1,4,12296580,Yes,2,-5,2296.58,FALSE,0,0"
696,"27,hymn_311_b,21,20000000,1000000,1000000,74,1,3,21720226,No,3,3,1720.226,FALSE,0,0"
697,"27,hymn_388b_b,9,8000000,1000000,1000000,72,1,4,11260696,No,2,5,3260.696,FALSE,0,0"
698,"27,hymn_444_b,10,9000000,1000000,1000000,74,1,5,11742491,No,4,5,2742.491,FALSE,0,0"
699,"27,hymn_526_b,35,34000000,1000000,1000000,77,1,2,36683154,No,2,5,2683.154,FALSE,0,0"
700,"27,hymn_542_b,12,11000000,1000000,1000000,72,1,5,13671718,Yes,3,-4,2671.718,FALSE,0,0"
701,"27,hymn_565_b,9,8000000,1000000,1000000,74,1,2,11236584,No,2,12,3236.584,FALSE,0,0"
702,"28,hymn_007_b,26,25000000,1000000,1000000,71,1,NA,NA,No,2,5,NA,TRUE,16,16"
703,"28,hymn_022_b,22,21000000,1000000,1000000,75,1,3,23655108,No,2,6,2655.108,TRUE,16,16"
704,"28,hymn_025_b,9,8000000,1000000,1000000,75,1,3,10952785,No,3,12,2952.785,TRUE,16,16"
705,"28,hymn_039_b,21,20000000,1000000,1000000,64,1,5,22512574,No,2,-5,2512.574,TRUE,16,16"
706,"28,hymn_047_b,10,9000000,1000000,1000000,71,1,3,11630068,No,2,2,2630.068,TRUE,16,16"
707,"28,hymn_054_b,22,21000000,1000000,1000000,76,1,NA,NA,No,2,7,NA,TRUE,16,16"
708,"28,hymn_073_b,9,8000000,1000000,1000000,75,1,NA,NA,No,2,8,NA,TRUE,16,16"
709,"28,hymn_081_b,58,57000000,1000000,1000000,74,1,6,60161002,No,4,5,3161.002,TRUE,16,16"
